NU_ANO_CENSO|ID_DOCENTE|NU_MES|NU_ANO|NU_IDADE_REFERENCIA|NU_IDADE|TP_SEXO|TP_COR_RACA|TP_NACIONALIDADE|CO_PAIS_ORIGEM|CO_UF_NASC|CO_MUNICIPIO_NASC|CO_UF_END|CO_MUNICIPIO_END|TP_ZONA_RESIDENCIAL|TP_LOCAL_RESID_DIFERENCIADA|IN_NECESSIDADE_ESPECIAL|IN_BAIXA_VISAO|IN_CEGUEIRA|IN_DEF_AUDITIVA|IN_DEF_FISICA|IN_DEF_INTELECTUAL|IN_SURDEZ|IN_SURDOCEGUEIRA|IN_DEF_MULTIPLA|IN_AUTISMO|IN_SUPERDOTACAO|TP_ESCOLARIDADE|TP_ENSINO_MEDIO|TP_SITUACAO_CURSO_1|CO_AREA_CURSO_1|CO_CURSO_1|IN_LICENCIATURA_1|NU_ANO_CONCLUSAO_1|TP_TIPO_IES_1|CO_IES_1|TP_SITUACAO_CURSO_2|CO_AREA_CURSO_2|CO_CURSO_2|IN_LICENCIATURA_2|NU_ANO_CONCLUSAO_2|TP_TIPO_IES_2|CO_IES_2|TP_SITUACAO_CURSO_3|CO_AREA_CURSO_3|CO_CURSO_3|IN_LICENCIATURA_3|NU_ANO_CONCLUSAO_3|TP_TIPO_IES_3|CO_IES_3|IN_COMPLEMENTACAO_PEDAGOGICA|CO_AREA_COMPL_PEDAGOGICA_1|CO_AREA_COMPL_PEDAGOGICA_2|CO_AREA_COMPL_PEDAGOGICA_3|IN_ESPECIALIZACAO|IN_MESTRADO|IN_DOUTORADO|IN_POS_NENHUM|IN_ESPECIFICO_CRECHE|IN_ESPECIFICO_PRE_ESCOLA|IN_ESPECIFICO_ANOS_INICIAIS|IN_ESPECIFICO_ANOS_FINAIS|IN_ESPECIFICO_ENS_MEDIO|IN_ESPECIFICO_EJA|IN_ESPECIFICO_ED_ESPECIAL|IN_ESPECIFICO_ED_INDIGENA|IN_ESPECIFICO_CAMPO|IN_ESPECIFICO_AMBIENTAL|IN_ESPECIFICO_DIR_HUMANOS|IN_ESPECIFICO_DIV_SEXUAL|IN_ESPECIFICO_DIR_ADOLESC|IN_ESPECIFICO_AFRO|IN_ESPECIFICO_GESTAO|IN_ESPECIFICO_OUTROS|IN_ESPECIFICO_NENHUM|ID_TURMA|TP_TIPO_DOCENTE|TP_TIPO_CONTRATACAO|IN_DISC_LINGUA_PORTUGUESA|IN_DISC_EDUCACAO_FISICA|IN_DISC_ARTES|IN_DISC_LINGUA_INGLES|IN_DISC_LINGUA_ESPANHOL|IN_DISC_LINGUA_FRANCES|IN_DISC_LINGUA_OUTRA|IN_DISC_LIBRAS|IN_DISC_LINGUA_INDIGENA|IN_DISC_PORT_SEGUNDA_LINGUA|IN_DISC_MATEMATICA|IN_DISC_CIENCIAS|IN_DISC_FISICA|IN_DISC_QUIMICA|IN_DISC_BIOLOGIA|IN_DISC_HISTORIA|IN_DISC_GEOGRAFIA|IN_DISC_SOCIOLOGIA|IN_DISC_FILOSOFIA|IN_DISC_ESTUDOS_SOCIAIS|IN_DISC_EST_SOCIAIS_SOCIOLOGIA|IN_DISC_INFORMATICA_COMPUTACAO|IN_DISC_ENSINO_RELIGIOSO|IN_DISC_PROFISSIONALIZANTE|IN_DISC_ESTAGIO_SUPERVISIONADO|IN_DISC_PEDAGOGICAS|IN_DISC_OUTRAS|TP_TIPO_ATENDIMENTO_TURMA|TP_TIPO_LOCAL_TURMA|TP_MEDIACAO_DIDATICO_PEDAGO|TP_ETAPA_ENSINO|CO_CURSO_EDUC_PROFISSIONAL|IN_ESPECIAL_EXCLUSIVA|IN_REGULAR|IN_EJA|IN_PROFISSIONALIZANTE|CO_ENTIDADE|CO_REGIAO|CO_MESORREGIAO|CO_MICRORREGIAO|CO_UF|CO_MUNICIPIO|CO_DISTRITO|TP_DEPENDENCIA|TP_LOCALIZACAO|TP_CATEGORIA_ESCOLA_PRIVADA|IN_CONVENIADA_PP|TP_CONVENIO_PODER_PUBLICO|IN_MANT_ESCOLA_PRIVADA_EMP|IN_MANT_ESCOLA_PRIVADA_ONG|IN_MANT_ESCOLA_PRIVADA_OSCIP|IN_MANT_ESCOLA_PRIV_ONG_OSCIP|IN_MANT_ESCOLA_PRIVADA_SIND|IN_MANT_ESCOLA_PRIVADA_SIST_S|IN_MANT_ESCOLA_PRIVADA_S_FINS|TP_REGULAMENTACAO|TP_LOCALIZACAO_DIFERENCIADA|IN_EDUCACAO_INDIGENA
2019|372CD76F1664AE29029D7B45FDE4767D|5|1987|32|32|2|1|1|76|35.0|3544251.0|50.0|5002704.0|1.0|0.0|0|||||||||||4|1.0|1.0|1.0|145F11|1|2007.0|2.0|387.0||||0|||||||0||||0||||1.0|1.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|3153256|1||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0||0.0|0.0|0.0||||0.0|1|0.0|1|41.0||0.0|1.0|0.0|0.0|50025759|5|5002|50004|50|5002704|500270405|4|1|1.0|0.0||1.0|0.0|0.0|0.0|0.0|0.0|0.0|1|0|0
2019|3733AED15C498CEB566887C9DE029571|5|1986|33|33|2|1|1|76|52.0|5208707.0|52.0|5208707.0|1.0||0|||||||||||4|1.0|1.0|1.0|145F01|1|2012.0|2.0|527.0||||0|||||||0||||0||||0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|14585515|1||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||0.0|0.0|0.0||||0.0|1|0.0|1|41.0||0.0|1.0|0.0|0.0|52075818|5|5203|52010|52|5208707|520870705|4|1|1.0|0.0||1.0|0.0|0.0|0.0|0.0|0.0|0.0|1|0|0
2019|373B5CC89D7864D2408DE0F6DB0DC27E|1|1982|37|37|2|1|1|76|52.0|5208707.0|52.0|5218391.0|1.0|0.0|0|||||||||||4|1.0|1.0|1.0|142P01|1|2004.0|1.0|824.0||||0|||||||0||||0||||1.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|15071789|1|1.0||||||||||||||||||||||||||||4|0.0|1|||||||52061639|5|5205|52015|52|5218391|521839105|2|1|||||||||||1|0|0
2019|373FB9A7D110BC7258964EE3BF01523E|5|1988|31|31|2|3|1|76|51.0|5105101.0|51.0|5105101.0|1.0|0.0|0|||||||||||4||1.0|1.0|145F02|1|2010.0|2.0|780.0||||0|||||||0||||0||||1.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|16460081|1|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||0.0|0.0|1.0|0.0|0.0|0.0|0.0||0.0|0.0|0.0||||0.0|1|0.0|1|26.0||0.0|1.0|0.0|0.0|51011794|5|5101|51005|51|5105101|510510105|2|1|||||||||||1|0|0
2019|374354B0DDE3B7ABF081D83A7ACC4253|11|1984|34|35|2|1|1|76|41.0|4108502.0|51.0|5105259.0|1.0|0.0|0|||||||||||4||1.0|2.0|220L03|0|2013.0||9999999.0||||0|||||||0||||0||||1.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|16635325|1|2.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||0.0|0.0|0.0||||0.0|1|0.0|1|41.0||0.0|1.0|0.0|0.0|51013576|5|5101|51006|51|5105259|510525905|2|1|||||||||||1|0|0
2019|3745AF168BE5725A0AB0B87C49526DBB|1|1966|53|53|1|1|1|76|50.0|5002704.0|50.0|5002704.0|1.0|0.0|0|||||||||||4|1.0|1.0|1.0|145F08|1|1991.0||9999999.0||||0|||||||0||||0||||0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|12066723|1||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||0.0|0.0|0.0|0.0|0.0|1.0|0.0||1.0|0.0|0.0||||0.0|1|0.0|1|25.0||0.0|1.0|0.0|0.0|50030116|5|5002|50004|50|5002704|500270405|4|1|1.0|0.0||1.0|0.0|0.0|0.0|0.0|0.0|0.0|1|0|0
2019|374EC3475E37B2F274B4F5501E594498|12|1958|60|61|1|1|1|76|21.0|2111706.0|53.0|5300108.0|1.0||0|||||||||||4||1.0|1.0|145F18|1|1988.0|1.0|548.0||||0|||||||0||||0||||0.0|0.0|0.0|1.0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|3123316|1|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0||0.0|0.0|0.0|0.0|0.0|0.0|0.0||0.0|0.0|0.0||||0.0|1|0.0|1|71.0||0.0|0.0|1.0|0.0|53011597|5|5301|53001|53|5300108|530010805|2|1|||||||||||1|0|0
2019|375658F2FFD818E7C074C175608B7E1B|6|1966|52|53|2|1|1|76|53.0|5300108.0|52.0|5200258.0|1.0||0|||||||||||4||1.0|1.0|145F17|1|2006.0|2.0|1309.0||||0|||||||0||||0||||0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|15074613|1|2.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||0.0|0.0|0.0|0.0|0.0|0.0|0.0||0.0|0.0|0.0||||0.0|1|0.0|1|26.0||0.0|1.0|0.0|0.0|52078523|5|5204|52012|52|5200258|520025805|2|1|||||||||||1|0|0
2019|375C799FE2A499102AEFE459742A818F|3|1985|34|34|2|1|1|76|31.0|3134202.0|51.0|5103403.0|1.0|0.0|0|||||||||||4||1.0|2.0|226F01|0|2008.0|1.0|17.0||||0|||||||0||||0||||1.0|1.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|16759572|1|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||0.0|0.0|0.0|0.0|0.0|0.0|1.0||0.0|0.0|0.0||||0.0|1|0.0|1|25.0||0.0|1.0|0.0|0.0|51040034|5|5104|51017|51|5103403|510340305|2|1|||||||||||1|0|0
2019|3764DE718319F3DEA24B672E2B9D9D31|1|1990|29|29|2|2|1|76|51.0|5106778.0|51.0|5107065.0|1.0|0.0|0|||||||||||4||1.0|1.0|145F02|1|2015.0||9999999.0||||0|||||||0||||0||||0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|16835060|1|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||0.0|0.0|0.0||||0.0|1|0.0|1|41.0||0.0|1.0|0.0|0.0|51086840|5|5102|51010|51|5107065|510706505|2|1|||||||||||1|0|0
